cell_x,cell_y,death_time
1432,1043,0
1303,1070,45
1258,1067,50
1671.67,707.63,50
2248,164,55
1396,893,55
1234,1754,55
898.968,1982.68,55
943,1745,55
1048,1601,55
1093,713,55
1519,224,55
1873,986,55
946,1457,60
1045,779,60
1654,317,60
978.631,1950,60
991,965,60
1180,1712,60
904,1769,60
1008.73,1639.66,60
982,1496,60
867.032,1960.32,60
1261,542,60
1066,1646,60
2074,752,60
1033.27,1670.34,60
883,710,60
1846,1022,60
1096,461,60
2011,731,60
1366,833,60
1576,278,60
1132,731,60
1633.33,703.37,60
1303,1835,65
832,1559,65
1666,260,65
892,1544,65
1120,1787,65
1072,884,65
1747,1082,65
2017,668,65
853,1436,65
1132,1643,65
1084,542,65
1408,758,65
2053,212,65
985,1562,65
991.904,1915.96,65
1006,833,65
916,1868,65
1051,953,65
805,707,65
1015,635,65
931,1958,65
1168,1661,65
1591,347,65
1297,581,65
937,1583,65
1633,203,65
961,752,65
1594,140,65
1141,602,65
1195,617,65
1978,779,65
925,902,65
1501,719,65
874,1823,65
1165,1877,70
424.666,1675.67,70
1249,878,70
2077,557,70
1669,1148,70
1075,1757,70
838,1352,70
1168,698,70
1675,416,70
1978,689,70
1525,314,70
1654,122,70
1141,1598,70
1252,632,70
1933,644,70
1957,896,70
1624,590,70
939.29,1901.4,70
1243,1673,70
1018,884,70
1177,791,70
1792,1061,70
973.176,1881.64,70
1006,1145,70
1165,569,70
1717,218,70
1435,728,70
1123,1919,70
1036,1937,70
901,821,70
1960,989,70
1060,1037,70
961,866,70
1075,1865,70
1192,665,70
985,1043,70
1564,668,70
450.344,1646.32,75
1852,1109,75
1147,2009,75
1735,173,75
1993,596,75
1555,608,75
901,1046,75
538,1427,75
1753.22,1181.09,75
1716.78,1165.91,75
1648,446,75
1717,113,75
1225,728,75
1252,689,75
1027,1187,75
1426,1238,75
1552,1247,75
2263,797,75
1264,1931,75
1618,473,75
2028.44,385.418,75
769,1496,75
1471,680,75
1117,1967,75
586,1391,80
1189,1964,80
1801,1517,80
622,1652,80
1528,1310,80
2248,857,80
1992.4,401.289,80
1423,383,80
733,1541,80
604,1448,80
1384,464,80
997,1286,80
2006.17,353.293,80
700,1502,80
1498,404,80
2068,1391,85
649,1547,85
1849,1559,85
1735,1571,85
2113,1391,85
1435,1310,85
1573,1313,85
331,1463,85
613,1601,85
943,1214,85
2293,872,85
565,1847,90
1704.07,1644.43,90
1708.93,1605.57,90
2191,1403,90
1420,1379,90
2146,1448,90
2044,1541,90
298,1484,90
2071,1469,95
