cell_x,cell_y,death_time
1432,1043,0
1303,1070,75
1258,1067,80
1426,1238,125
1435,1310,150
1420,1379,150
1528,1310,155
1573,1313,160
1552,1247,165
1669,1148,170
1716.68,1165.87,175
1753.32,1181.13,180
1747,1082,180
1792,1061,185
1852,1109,190
1060,1037,190
1396,893,195
1051,953,195
985,1043,195
1846,1022,195
1249,878,195
1873,986,200
901,1046,200
991,965,200
1177,791,200
997,1286,200
1366,833,200
1072,884,205
1408,758,205
1132,731,205
1006,1145,205
961,866,205
925,902,205
1960,989,210
1018,884,210
1225,728,210
1435,728,210
1093,713,210
1027,1187,210
1045,779,215
1957,896,215
1006,833,215
943,1214,215
961,752,215
901,821,215
1471,680,215
1252,689,215
1564,668,220
1168,698,220
1015,635,220
1192,665,220
1297,581,220
1978,779,220
1252,632,220
883,710,220
1501,719,220
1195,617,220
1555,608,225
1672.21,707.69,225
805,707,225
1632.79,703.31,225
1261,542,225
1165,569,225
1141,602,225
838,1352,230
1978,689,230
1084,542,230
1624,590,230
1384,464,230
1096,461,235
2017,668,235
1498,404,235
853,1436,235
1933,644,235
2074,752,235
2011,731,235
1618,473,235
2248,857,235
1801,1517,235
2068,1391,235
946,1457,240
1993,596,240
1849,1559,240
2077,557,240
1423,383,240
2146,1448,240
1648,446,240
1525,314,240
2293,872,240
1591,347,240
2113,1391,240
1654,317,245
892,1544,245
1576,278,245
2191,1403,245
982,1496,245
1708.96,1605.31,245
2263,797,245
1675,416,245
1735,1571,245
2071,1469,245
832,1559,250
1519,224,250
1666,260,250
1992.25,401.354,250
769,1496,250
937,1583,250
2044,1541,250
604,1448,250
1704.04,1644.69,250
1633,203,255
1717,218,255
1654,122,255
1141,1598,255
2028.75,385.596,255
985,1562,255
1048,1601,260
1735,173,260
700,1502,260
733,1541,260
1594,140,260
1717,113,260
943,1745,260
1132,1643,260
1066,1646,260
2053,212,260
2006,353.05,260
586,1391,265
1008.59,1639.48,265
992.051,1916.23,265
904,1769,265
565,1847,265
1168,1661,265
1033.41,1670.52,265
649,1547,265
538,1427,270
1075,1757,270
874,1823,270
1243,1673,270
939.074,1901.53,270
613,1601,270
978.631,1950,270
1180,1712,270
973.244,1881.24,270
1303,1835,275
1075,1865,275
931,1958,275
916,1868,275
1234,1754,275
1036,1937,275
622,1652,275
1165,1877,275
1120,1787,275
1264,1931,275
450.584,1646.05,280
424.426,1675.94,280
899.277,1982.89,280
866.723,1960.11,280
1123,1919,280
2248,164,280
1189,1964,285
1147,2009,285
1117,1967,285
331,1463,300
298,1484,305
