,cell_x,cell_y,death_time
0,1432,1043,0
1,586,1391,15
2,448,1649,15
3,427,1673,15
4,832,1559,15
5,946,1457,15
6,1147,2009,15
7,1045,779,15
8,1528,1310,15
9,1573,1313,15
10,1669,1148,15
11,1666,260,15
12,1654,317,15
13,1993,401,15
14,1993,596,15
15,838,1352,30
16,613,1601,30
17,733,1541,30
18,892,1544,30
19,1120,1787,30
20,979,1949,30
21,901,1046,30
22,1072,884,30
23,1753,1181,30
24,1717,1166,30
25,1747,1082,30
26,1978,689,30
27,2017,668,30
28,2248,164,30
29,1717,113,30
30,1654,122,30
31,1498,404,30
32,1849,1559,30
33,1708,1613,30
34,649,1547,45
35,853,1436,45
36,1132,1643,45
37,1141,1598,45
38,1426,1238,45
39,1552,1247,45
40,991,965,45
41,1084,542,45
42,1408,758,45
43,1396,893,45
44,1618,473,45
45,2053,212,45
46,2026,383,45
47,2008,356,45
48,1957,896,45
49,1735,1571,45
50,2044,1541,45
51,331,1463,60
52,298,1484,60
53,604,1448,60
54,985,1562,60
55,991,1916,60
56,940,1901,60
57,1117,1967,60
58,1189,1964,60
59,1234,1754,60
60,1243,1673,60
61,1705,1637,60
62,2146,1448,60
63,1006,833,60
64,1018,884,60
65,1177,791,60
66,1792,1061,60
67,622,1652,75
68,769,1496,75
69,916,1868,75
70,973,1883,75
71,1180,1712,75
72,997,1286,75
73,1051,953,75
74,805,707,75
75,1015,635,75
76,1435,728,75
77,1735,173,75
78,2113,1391,75
79,2071,1469,75
80,898,1982,90
81,931,1958,90
82,1264,1931,90
83,904,1769,90
84,1009,1640,90
85,1168,1661,90
86,982,1496,90
87,538,1427,90
88,1060,1037,90
89,1258,1067,90
90,1303,1070,90
91,1192,665,90
92,1297,581,90
93,1261,542,90
94,1801,1517,90
95,2068,1391,90
96,937,1583,105
97,1066,1646,105
98,961,752,105
99,1252,632,105
100,1717,218,105
101,2191,1403,105
102,2074,752,105
103,943,1745,120
104,1033,1670,120
105,1048,1601,120
106,985,1043,120
107,961,866,120
108,901,821,120
109,1093,713,120
110,1141,602,120
111,1195,617,120
112,1165,569,120
113,1384,464,120
114,1423,383,120
115,1471,680,120
116,1624,590,120
117,1933,644,120
118,1978,779,120
119,925,902,135
120,883,710,135
121,1252,689,135
122,1525,314,135
123,1648,446,135
124,1675,416,135
125,1555,608,135
126,1501,719,135
127,1846,1022,135
128,874,1823,150
129,1165,1877,150
130,1075,1757,150
131,1096,461,150
132,1591,347,150
133,1633,203,150
134,2248,857,150
135,2293,872,150
136,2011,731,150
137,1435,1310,150
138,943,1214,165
139,1249,878,165
140,1366,833,165
141,1564,668,165
142,1576,278,165
143,1519,224,165
144,1225,728,165
145,1027,1187,180
146,1006,1145,180
147,1132,731,180
148,1168,698,180
149,1639,704,180
150,1666,707,180
151,1852,1109,180
152,1594,140,195
153,1960,989,210
154,1036,1937,210
155,1873,986,225
156,2263,797,240
157,1123,1919,240
158,1420,1379,255
159,700,1502,255
160,565,1847,270
161,2077,557,285
162,868,1961,315
163,1075,1865,330
164,1303,1835,360
