cell_x,cell_y,death_time
263.788,1033.79,0
278.709,1006.93,5
220.517,1029.31,10
334.782,1000.96,10
268.265,962.164,10
316.642,1032.29,15
208.501,969.072,15
173.799,974.269,20
260.287,919.655,20
362.268,960.672,20
152.626,1002.44,25
191.892,1004.04,25
172.639,1035.45,25
320.489,933.814,25
230.976,942.383,25
274.233,862.193,25
134.905,1034.77,30
187.003,946.711,30
138.508,968.118,30
152.918,933.395,30
318.834,858.583,30
202.806,915.589,30
305.73,894.153,30
397.3,933.777,30
227.982,891.145,35
381.343,857.889,35
435.68,935.952,35
466.715,984.546,40
478.062,938.333,40
406.461,887.506,40
216.905,840.001,40
418.366,848.644,40
207.938,804.259,40
176.875,828.162,40
520.431,860.701,45
187.84,771.932,45
458.832,904.815,45
536.844,814.445,50
97.5865,778.373,50
136.389,780.166,50
64.9942,799.747,55
571.163,554.819,80
393.973,522.632,80
502.746,577.108,85
446.426,528.172,85
387.263,484.049,90
529.021,549.062,95
541.586,512.561,95
464.623,493.431,95
608.891,523.807,100
532.368,462.308,100
695.516,535.736,105
578.075,499.648,105
660.008,551.226,105
599.336,385.24,105
566.182,334.679,110
527.121,330,110
668.15,592.121,110
747.395,540.79,110
657.705,486.181,110
605.658,420.007,110
504.523,288.998,115
749.98,468.054,115
540.707,293.721,115
724.145,510.006,115
712.899,476.804,115
671.797,388.433,115
665.166,430.973,115
704.73,407.616,120
695.601,356.944,120
845.8,654.72,120
785.174,468.434,120
725.213,439.698,120
787.519,545.866,120
667.336,233.54,120
733.875,381.883,125
804.515,501.615,125
847.203,614.503,125
802.44,593.613,125
845.007,517.163,125
770.951,431.948,125
837.261,479.751,125
705.037,223.971,125
739.508,205.74,125
803.926,407.079,130
815.608,444.987,130
880.831,718.441,130
883.356,454.361,130
874.878,492.425,130
847.271,556.096,130
706.945,177.315,130
927.777,748.793,135
905.994,635.395,135
852.554,690.989,135
883.473,667.215,135
775.582,168.362,135
824.821,153.441,135
997.906,641.361,140
956.127,611.519,140
936.175,664.062,140
911.924,694.844,140
760.661,131.06,140
896.065,187.581,140
1048.85,664.742,145
1041.18,621.963,145
930,190.904,145
778.566,89.2805,145
869.984,140.708,145
1069.24,698.574,150
1083.32,656.511,150
1121.67,647.968,150
889.914,65.2757,150
830.459,89.2031,150
868.858,98.637,150
938.932,129.239,150
903.032,145.86,150
969.042,191.424,155
1190.38,691.457,155
896.443,22.1356,155
1012.35,290.171,155
977.177,152.779,155
929.269,72.8673,155
1192.92,607.49,155
1151.73,610.625,155
1191.07,646.751,160
977.407,75.5542,160
1169.85,575.452,160
1033.72,186.268,160
1026.26,145.981,160
1005.37,226.555,160
17.5904,137.028,160
1044.63,267.385,160
962.407,38.9268,160
1078.48,295.192,160
1156.62,665.626,160
1148.61,329.51,160
1077.99,197.502,165
1038.19,93.7568,165
1009.14,51.8971,165
1079.48,135.639,165
1241.12,342.939,165
1144.88,285.396,165
1127.56,250.246,165
1224.71,671.838,165
1091.79,234.342,165
1182.55,273.73,170
1103.21,167.196,170
1153.09,213.126,170
1284.39,329.51,170
1142.64,145.981,170
1191.88,235.507,170
1218.92,162.798,175
1232.17,17.6593,175
1291.83,208.722,175
1185.73,184.372,175
1181.44,128.075,175
1242.28,97.2092,180
1303.33,283.379,180
1267.98,154.933,180
1278.42,20.6435,180
1290.82,245.828,180
1282.9,119.123,180
1335.12,56.4541,185
1347.06,105.694,185
1265.33,64.9386,185
1333.63,238.491,185
1305.31,171.274,185
1382.87,217.602,185
1351.54,16.1671,190
1375.41,57.9462,190
