,Unnamed: 0,TrackID,cell_x,cell_y,death_time
0,0,2,302.769,427.476,150
1,1,3,435.19,438.404,240
2,2,5,356.123,429.404,150
3,3,6,747.6,430.69,65
4,4,7,339.409,434.547,170
5,5,8,484.687,431.333,45
6,6,9,403.691,435.19,235
7,7,11,257.128,439.689,180
8,8,12,669.176,428.119,115
9,9,13,421.048,436.475,230
10,10,14,660.177,437.761,115
11,11,15,692.961,440.975,105
12,12,16,758.528,434.547,135
13,13,17,450.617,437.761,235
14,14,18,386.978,435.832,200
15,15,19,518.756,437.118,55
16,16,20,620.965,446.118,155
17,17,21,530.97,439.047,210
18,18,22,373.479,426.19,165
19,19,23,563.111,421.048,200
20,20,25,743.743,414.619,110
21,21,26,246.2,428.119,65
22,22,27,577.896,417.191,185
23,23,28,274.484,430.047,115
24,24,29,617.751,424.904,135
25,25,30,654.391,424.262,125
26,26,31,484.044,433.904,125
27,27,32,322.053,424.262,145
28,28,33,711.602,437.761,100
29,29,34,386.335,422.976,205
30,30,35,426.19,425.547,220
31,31,36,509.114,429.404,170
32,32,37,532.898,424.904,170
33,33,38,453.831,426.19,230
34,34,39,638.321,435.19,145
35,35,41,715.459,426.19,105
36,36,42,475.044,435.832,225
37,37,45,285.412,457.045,145
38,38,47,403.049,449.332,190
39,39,48,473.116,453.189,225
40,40,49,430.047,453.189,180
41,41,50,455.117,455.117,195
42,42,51,515.542,449.974,150
43,43,52,587.538,449.974,135
44,44,53,334.267,459.617,195
45,45,54,702.603,451.903,130
46,46,55,489.187,457.688,235
47,47,56,543.826,451.26,155
48,48,57,562.468,450.617,90
49,49,58,648.606,457.688,125
50,50,59,720.602,458.331,230
51,51,60,408.191,462.188,175
52,52,61,676.247,466.688,85
53,53,62,766.242,460.26,135
54,54,64,660.177,449.974,125
55,55,65,287.341,444.189,95
56,56,66,302.126,443.546,175
57,57,67,325.267,443.546,175
58,58,68,584.324,439.689,190
59,59,69,462.831,443.546,215
60,60,70,484.687,444.832,210
61,61,71,273.842,451.903,145
62,62,72,365.765,440.975,185
63,63,73,502.686,442.261,120
64,64,74,300.197,419.762,90
65,65,75,746.315,451.903,135
66,66,76,345.195,448.046,200
67,67,77,678.819,443.546,110
68,68,78,640.249,453.189,155
69,69,81,442.261,449.332,180
70,70,82,779.099,449.332,135
71,71,84,237.844,394.692,110
72,72,85,323.982,392.763,80
73,73,86,745.672,390.835,165
74,74,87,473.116,397.263,185
75,75,88,704.531,386.335,70
76,76,89,761.1,393.406,145
77,77,92,615.822,392.121,125
78,78,93,356.123,396.62,135
79,79,94,586.895,394.049,100
80,80,95,560.54,388.906,125
81,81,96,538.684,392.121,165
82,82,97,546.398,397.263,140
83,83,98,376.05,395.335,155
84,84,99,665.319,395.335,105
85,85,101,268.056,395.978,115
86,86,102,444.189,403.691,295
87,87,103,729.601,395.335,110
88,88,104,394.692,399.192,200
89,89,105,417.191,386.335,220
90,90,106,611.322,382.478,100
91,91,107,694.246,381.193,105
92,92,108,784.241,381.193,150
93,93,109,215.345,381.835,70
