 CellID,cell_x,cell_y,death_time,Mode
5,215.6999966,46.28308658,920,necrosis
6,198.3448244,40.49770076,530,necrosis
7,188.0143648,61.06796147,740,necrosis
8,203.303445,68.78180923,550,necrosis
9,214.8735598,90.63771123,885,necrosis
10,227.2701113,80.35258088,80,necrosis
12,256.1953982,62.99642341,295,necrosis
13,256.1953982,35.99795623,85,necrosis
14,271.07126,51.42565176,140,necrosis
15,288.8396506,61.06796147,130,necrosis
16,303.302294,78.42411893,275,necrosis
17,282.6413748,99.63720029,85,necrosis
18,266.1126394,83.56668411,380,necrosis
21,240.906318,147.2059282,640,necrosis
22,230.9890768,130.4925913,500,necrosis
23,214.8735598,136.9207978,555,necrosis
24,213.2206863,111.2079719,510,necrosis
25,204.5431002,127.2784881,1065,necrosis
26,185.9482729,112.4936132,895,necrosis
27,183.0557442,91.28053187,1120,necrosis
28,170.2459743,127.2784881,730,necrosis
29,188.0143648,132.4210533,845,necrosis
30,188.0143648,186.4179876,505,necrosis
31,176.0310317,185.775167,560,necrosis
32,172.3120662,160.7051618,940,necrosis
33,145.8660896,163.2764443,630,necrosis
35,202.4770083,211.4879929,510,necrosis
36,219.0057436,209.5595309,590,necrosis
37,219.8321804,179.3469605,525,necrosis
38,201.6505715,160.7051618,925,necrosis
39,235.534479,208.9167103,1020,necrosis
40,260.7408004,192.8461941,780,necrosis
41,257.8482717,157.4910585,910,necrosis
42,280.1620645,139.4920804,1010,necrosis
43,309.9137882,112.4936132,555,necrosis
44,315.2856272,87.42360799,800,necrosis
46,336.7729831,127.2784881,380,necrosis
47,324.3764316,143.9918249,1065,necrosis
48,339.2522934,154.9197759,745,necrosis
49,323.9632132,181.9182431,695,necrosis
50,310.3270065,154.9197759,700,necrosis
51,282.6413748,167.7761889,530,necrosis
52,302.0626389,198.6315799,735,necrosis
53,326.8557419,212.1308135,1020,necrosis
54,316.1120639,253.9141556,1340,necrosis
55,303.7155124,234.6295362,1150,necrosis
56,294.6247079,268.6990304,1340,necrosis
57,281.814938,261.6280033,1340,necrosis
58,286.3603403,203.7741451,995,necrosis
59,273.137352,228.2013297,805,necrosis
60,259.0879269,250.7000523,530,necrosis
61,247.1045938,265.4849272,1340,necrosis
62,230.16264,255.8426175,730,necrosis
63,219.0057436,253.2713349,445,necrosis
65,257.8482717,221.1303026,740,necrosis
66,196.6919509,251.342873,735,necrosis
