 CellID,cell_x,cell_y,death_time
1,339.47,277.983,150
2,360.109,285.292,160
3,342.91,251.754,180
4,375.158,248.744,190
5,326.57,261.643,190
6,384.188,274.543,200
7,280.133,262.503,210
8,250.034,272.393,210
9,244.874,286.152,210
10,267.233,295.182,220
11,277.123,323.991,220
12,257.344,333.45,220
13,287.442,308.511,220
14,354.519,264.653,220
15,303.351,291.312,240
16,259.493,353.659,240
17,268.953,372.148,250
18,315.821,339.04,250
19,330.44,294.752,260
20,306.361,315.821,260
21,327.86,326.14,270
22,343.77,323.561,280
23,307.651,348.929,280
24,307.651,348.929,280
25,322.701,360.109,290
26,324.421,378.168,300
27,495.983,365.699,290
28,353.229,302.492,310
29,332.16,410.417,350
30,345.06,373.008,400
31,414.717,391.928,470
32,299.912,364.409,490
33,309.801,401.817,560
34,348.929,352.369,910
35,377.738,294.322,480
36,389.348,306.791,420
37,372.148,307.221,930
38,402.677,330.87,810
39,415.146,314.961,450
40,464.594,250.464,390
41,485.233,257.344,390
42,486.523,240.574,1280
43,440.085,265.083,710
44,448.255,312.381,620
45,371.718,437.935,1050
46,383.328,392.358,1030
47,414.287,426.756,660
48,426.326,455.135,610
49,470.184,401.817,410
50,545.001,446.105,500
51,515.332,459.865,410
52,499.423,477.494,380
53,538.551,425.036,550
54,513.182,409.127,650
55,516.622,388.058,640
56,510.172,332.16,410
57,505.872,231.545,450
58,462.444,265.083,990
59,477.924,312.811,1320
60,443.525,339.04,650
61,462.874,353.659,1380
62,479.644,377.738,1360
63,451.695,369.999,580
64,344.63,455.135,1400
65,363.119,680.875,250
66,375.158,696.354,280
67,340.76,689.474,280
68,340.33,665.825,290
69,370.858,647.766,290
70,378.598,628.847,300
71,328.72,655.076,300
72,391.928,655.076,320
73,422.456,684.315,330
74,416.866,705.814,340
75,395.367,715.703,340
76,357.959,769.881,340
77,283.142,794.39,340
78,469.324,821.908,290
79,435.786,817.179,320
80,436.646,845.127,340
81,425.036,852.437,360
82,419.876,834.808,360
83,417.296,814.599,360
84,391.498,814.169,370
85,405.687,847.277,380
86,395.797,830.078,410
87,261.213,787.51,350
88,294.752,713.553,360
89,336.89,719.143,380
90,333.45,778.05,380
91,298.622,784.93,380
92,275.833,767.731,380
93,315.391,736.772,390
94,291.312,729.462,390
95,269.813,741.072,410
96,274.543,717.423,420
97,291.742,753.971,450
98,255.624,821.908,440
99,305.071,806.429,510
100,292.602,830.078,510
101,281.852,814.169,540
102,319.691,817.609,340
103,348.929,811.589,420
104,327.43,797.399,430
105,363.979,809.439,430
106,383.758,794.82,430
107,327.43,580.259,270
108,279.273,693.344,400
109,260.353,685.604,460
110,250.464,664.105,500
111,277.983,663.675,560
112,264.223,639.167,400
113,267.233,630.997,420
114,291.312,623.257,350
115,305.501,608.208,530
116,275.833,609.068,750
117,301.632,580.259,660
118,265.943,569.08,420
119,283.142,569.08,410
120,270.673,538.551,850
121,289.592,545.001,720
122,325.71,675.715,310
123,321.411,690.764,310
124,305.071,684.745,350
125,313.241,705.814,390
126,419.016,760.851,380
127,388.918,763.431,400
128,403.107,783.21,410
129,450.835,779.77,410
130,460.724,768.591,700
131,486.953,816.319,560
132,366.989,711.833,320
133,373.008,729.032,410
134,406.977,744.512,410
135,414.717,732.472,390
136,451.265,722.153,1290
137,345.49,606.488,370
138,364.409,626.267,380
139,335.17,639.167,380
140,354.949,566.93,1410
141,319.261,763.431,390
142,676.145,561.77,120
143,673.995,577.249,160
144,718.713,609.068,230
145,690.334,575.959,230
146,712.693,580.259,230
147,704.954,630.137,270
148,693.774,593.159,270
149,701.084,646.046,300
150,678.725,639.597,300
151,570.37,623.687,240
152,607.778,636.157,280
153,609.928,613.798,290
154,632.717,761.711,290
155,661.526,769.451,300
156,679.585,749.672,310
157,647.336,740.212,310
158,663.675,723.443,310
159,684.744,726.883,330
160,695.924,741.502,340
161,703.664,724.303,340
162,667.115,698.504,340
163,679.585,677.435,340
164,707.963,679.155,360
165,719.573,715.273,360
166,718.713,654.646,330
167,731.612,624.117,330
168,687.754,655.506,340
169,707.963,692.914,380
170,723.873,679.155,380
171,736.772,707.103,400
172,739.782,679.585,410
173,737.632,662.816,410
174,736.772,693.344,440
175,620.677,736.772,340
176,614.228,716.133,350
177,640.886,694.634,350
178,646.046,713.553,350
179,638.737,655.506,350
180,642.176,673.995,360
181,570.37,722.153,380
182,616.378,681.735,400
183,601.758,684.315,420
184,574.239,696.784,420
185,581.119,662.816,440
186,578.539,679.155,450
187,563.92,683.884,500
188,557.9,657.226,520
189,539.841,692.484,460
190,464.594,628.847,450
191,489.103,685.174,500
192,504.583,695.494,560
193,507.162,734.192,830
194,527.802,787.08,510
195,503.293,790.95,830
196,585.419,705.384,400
197,633.577,633.577,310
198,665.825,655.936,360
199,659.376,634.437,370
200,660.666,587.999,570
201,820.403,537.584,160
202,801.054,542.421,170
203,784.608,495.015,170
204,816.856,515.332,190
205,781.06,534.681,190
206,760.421,544.678,200
207,730.107,548.226,210
208,775.578,510.817,210
209,758.164,523.717,210
210,754.939,495.338,210
211,770.096,476.311,210
212,725.27,501.788,220
213,733.01,516.944,230
214,743.652,539.841,240
215,741.717,526.942,250
216,703.986,529.844,250
217,707.211,494.048,260
218,696.891,479.859,310
219,681.412,489.211,310
220,684.315,511.785,320
221,713.661,475.021,330
222,693.344,467.604,330
223,685.282,546.936,370
224,726.238,464.057,310
225,736.235,446.643,310
226,759.454,420.199,310
227,781.705,408.267,310
228,788.477,423.746,310
229,761.711,402.785,300
230,716.886,424.391,220
231,739.782,413.749,240
232,750.747,440.515,280
233,742.362,432.776,310
234,624.332,395.69,320
235,613.368,374.406,330
236,638.844,377.631,340
237,554.998,408.912,350
238,593.051,377.308,350
239,582.087,456.64,350
240,628.202,443.418,390
241,530.811,478.246,290
242,663.998,385.693,370
243,639.811,355.702,370
244,632.394,411.169,390
245,673.672,415.684,410
246,657.871,406.009,410
247,679.8,377.953,420
248,668.835,331.515,430
249,682.38,350.219,430
250,727.85,343.447,430
251,743.652,331.838,430
252,701.084,351.509,460
253,710.758,336.353,460
254,712.693,369.569,470
255,701.729,384.08,520
256,678.187,413.749,1110
257,635.942,493.403,530
258,556.61,489.533,780
259,712.371,436.323,280
260,537.906,397.625,650
261,566.607,408.589,650
262,555.32,422.134,810
263,584.021,416.651,740
264,575.959,327.968,510
265,716.563,312.166,380
266,883.288,345.705,190
267,802.667,501.788,200
268,816.534,498.885,210
269,810.084,485.341,220
270,789.445,474.376,220
271,802.667,469.862,230
272,796.862,450.512,230
273,749.134,469.539,240
274,776.545,441.16,260
275,801.377,408.912,350
276,806.214,377.308,350
277,775.578,392.143,360
278,814.276,388.595,360
279,818.146,401.495,380
280,834.27,400.85,400
281,838.785,389.24,270
282,844.912,376.018,280
283,832.013,377.953,310
284,831.368,364.731,310
285,815.244,362.796,320
286,745.264,373.438,390
287,763.646,357.314,390
288,660.451,311.844,380
289,647.229,319.261,380
290,673.995,293.462,240
291,695.602,317.326,420
292,663.353,358.282,400
293,633.684,321.841,260
294,484.373,495.66,320
295,475.021,406.654,750
296,461.799,486.308,690
297,460.187,508.237,620
298,501.143,315.713,690
299,504.045,296.364,820
300,508.56,280.24,710
301,623.365,287.657,550
302,590.471,319.261,530
303,583.699,297.654,570
304,656.581,263.148,410
305,654.968,288.947,430
306,645.939,273.145,470
307,624.01,272.5,560
308,641.424,251.539,720
309,709.146,271.533,610
310,616.593,241.219,1290
311,690.119,258.311,1360
312,565.64,249.604,690
313,560.48,234.447,890
314,473.731,537.906,220
315,451.802,526.942,230
316,425.359,504.368,240
317,372.148,493.081,350
318,408.589,523.394,350
319,416.329,500.498,380
320,434.066,479.859,410
321,399.237,488.888,560
322,393.11,468.249,590
323,424.391,641.424,410
324,552.095,455.995,1320
325,549.516,393.11,1350
326,485.018,515.332,890
327,514.687,509.527,880
328,562.415,525.329,660
329,516.622,576.604,520
330,559.513,554.03,1190
331,510.495,626.912,1260
332,394.722,550.805,560
333,400.527,536.616,580
334,374.083,576.604,550
335,493.403,537.906,530
336,518.557,712.693,450
337,403.752,263.148,880
