 CellID,cell_x,cell_y,death_time
1,757.841,334.74,110
2,790.09,343.77,110
3,761.711,354.089,110
4,799.119,345.06,130
5,797.399,330.87,130
6,747.092,354.949,140
7,763.001,321.411,140
8,823.628,343.77,140
9,810.729,375.158,140
10,821.048,376.448,150
11,812.019,357.959,150
12,781.92,357.959,140
13,779.34,373.438,160
14,744.942,368.709,150
15,727.313,392.358,150
16,766.871,385.478,170
17,748.382,388.058,170
18,729.892,380.318,170
19,739.782,320.981,160
20,828.358,391.068,160
21,725.593,333.45,180
22,715.703,369.569,180
23,726.883,357.959,190
24,707.533,349.789,190
25,691.194,367.419,200
26,612.508,471.474,170
27,786.22,387.628,180
28,759.131,403.537,190
29,776.76,404.827,200
30,790.09,410.417,200
31,803.849,419.446,220
32,825.348,425.036,230
33,809.869,437.505,230
34,832.228,439.655,230
35,848.997,455.995,230
36,853.727,440.515,200
37,842.117,431.486,240
38,865.336,422.026,220
39,835.238,367.849,180
40,853.727,388.918,190
41,867.916,404.827,200
42,880.816,412.997,200
43,890.705,400.097,210
44,923.384,471.474,210
45,934.993,399.667,250
46,920.374,397.517,270
47,927.684,383.758,280
48,904.895,385.478,280
49,744.942,403.967,210
50,772.891,429.766,230
51,761.281,422.026,240
52,791.38,460.295,250
53,781.49,446.965,260
54,762.141,443.955,260
55,773.751,462.874,270
56,795.25,447.395,280
57,826.638,443.955,280
58,821.693,454.06,290
59,837.603,461.369,280
60,858.242,469.539,280
61,813.309,445.03,300
62,858.457,499.208,300
63,861.252,483.728,310
64,824.918,464.594,310
65,836.098,484.158,330
66,842.762,499.638,350
67,801.484,488.458,290
68,794.605,471.689,300
69,787.295,489.963,320
70,802.774,508.452,330
71,830.293,511.892,370
72,761.066,464.594,280
73,747.952,467.389,280
74,737.847,433.636,380
75,725.163,422.026,440
76,738.492,473.624,330
77,739.567,488.673,350
78,744.297,451.05,340
79,733.547,460.939,360
80,726.238,481.794,380
81,725.808,458.79,430
82,760.636,496.628,490
83,756.766,515.762,500
84,760.421,505.657,500
85,821.693,526.727,500
86,913.064,409.557,240
87,891.35,424.176,260
88,883.611,437.076,260
89,867.271,439.87,260
90,943.163,411.922,270
91,929.619,411.707,290
92,918.224,421.381,300
93,933.058,429.551,300
94,945.743,423.316,290
95,957.137,422.886,290
96,966.597,435.571,300
97,948.753,435.571,300
98,947.678,450.405,320
99,927.469,440.945,320
100,973.047,422.026,330
101,986.806,449.545,330
102,987.236,429.551,340
103,1008.95,463.089,360
104,1003.36,450.62,360
105,999.92,437.076,370
106,992.181,464.164,360
107,1008.95,478.354,360
108,1037.544,487.383,330
109,1021.634,455.135,390
110,1030.449,473.409,390
111,1037.544,462.659,400
112,1055.818,456.425,470
113,907.475,439.44,300
114,879.096,468.464,300
115,909.194,455.995,310
116,894.575,465.669,310
117,888.985,447.61,320
118,861.682,450.19,340
119,906.83,474.054,340
120,933.488,457.07,360
121,921.879,467.174,360
122,930.694,471.689,400
123,947.248,475.129,420
124,960.792,450.19,310
125,971.112,448.47,350
126,981.861,475.774,370
127,971.112,464.594,380
128,958.427,469.539,380
129,955.632,492.758,410
130,973.692,491.038,410
131,938.433,484.158,430
132,934.993,493.833,420
133,939.293,523.502,470
134,950.688,552.525,470
135,939.938,537.261,470
136,934.133,507.807,480
137,898.015,480.074,660
138,849.427,478.784,240
139,880.171,482.224,350
140,891.35,486.953,850
141,910.699,480.289,770
142,905.97,522.642,560
143,955.847,507.162,460
144,996.051,484.158,320
145,986.806,497.703,370
146,998.416,503.078,290
147,1017.335,491.898,300
148,976.486,509.742,270
149,1047.003,504.368,280
150,1022.709,506.732,240
151,1039.479,515.977,240
152,1008.735,522.642,230
153,1062.913,527.157,260
154,1048.293,538.121,260
155,1071.942,522.212,320
156,1068.072,508.237,330
157,1075.597,499.423,410
158,1087.636,508.882,470
159,964.017,517.697,360
160,962.727,532.531,360
161,979.926,537.476,300
162,1000.78,538.121,290
163,985.946,520.492,310
164,1032.599,546.291,200
165,1023.139,559.62,200
166,1043.778,554.03,220
167,1091.076,494.263,360
168,1099.246,508.022,390
169,1090.646,521.782,350
170,1105.696,523.072,360
171,1113.865,537.261,370
172,1113.435,571.66,260
173,1113.435,560.05,260
174,1077.747,549.731,300
175,1083.767,532.961,300
176,1116.015,550.59,300
177,1100.536,535.111,310
178,1093.226,549.731,310
179,1075.167,563.49,270
180,1120.315,584.129,280
181,1098.816,566.5,290
182,1085.057,578.109,300
183,1108.706,591.009,300
184,1063.558,546.721,330
185,1055.388,567.36,270
186,1063.558,589.719,280
187,1084.197,607.778,300
188,1091.936,591.439,260
189,1120.315,605.628,320
190,1132.784,605.198,490
191,1042.059,580.259,330
192,1027.869,579.399,410
193,977.991,572.09,540
194,993.901,590.579,730
195,1011.1,612.508,730
196,971.112,611.218,390
197,982.291,608.208,840
198,1043.349,615.948,650
199,1036.899,625.837,580
200,1068.287,638.307,700
201,1061.838,646.476,770
202,1077.747,624.977,300
203,1162.453,664.965,200
204,1192.982,683.885,210
205,1193.412,701.514,210
206,1187.392,670.555,230
207,1210.611,690.334,250
208,1154.284,667.975,250
209,1169.333,679.155,260
210,1160.733,693.344,270
211,1179.222,698.074,270
212,1188.682,709.683,270
213,1222.651,710.113,290
214,1209.751,710.973,290
215,1222.651,695.924,310
216,1233.83,720.003,330
217,1198.572,722.153,330
218,1217.921,719.573,350
219,1148.694,695.494,290
220,1144.394,670.985,290
221,1134.934,681.305,300
222,1120.315,664.105,320
223,1117.735,691.624,340
224,1129.345,685.174,340
225,1124.615,652.496,340
226,1110.855,674.425,350
227,1130.205,699.794,360
228,1195.562,738.922,370
229,1217.491,730.752,370
230,1234.69,735.482,370
231,1230.82,750.532,390
