,Unnamed: 0,TrackID,cell_x,cell_y,death_time
0,0,1,421.85,655.85,200
1,1,2,189.8,651.95,245
2,2,3,270.4,642.2,250
3,3,4,636.35,650.65,60
4,4,5,63.05,644.8,190
5,5,6,218.4,650.65,230
6,6,7,519.35,648.05,195
7,7,8,555.75,650.65,210
8,8,9,321.75,653.9,210
9,9,10,390.65,651.95,220
10,10,11,659.1,662.35,275
11,11,12,48.75,654.55,205
12,12,13,160.55,652.6,230
13,13,14,349.05,652.6,195
14,14,15,544.05,654.55,275
15,15,16,256.1,653.9,155
16,16,17,588.9,642.85,245
17,17,18,293.8,658.45,220
18,18,19,477.75,656.5,230
19,19,20,531.05,654.55,240
20,20,21,573.3,653.25,255
21,21,22,373.75,655.2,155
22,22,23,621.4,663.0,285
23,23,25,442.0,661.05,160
24,24,26,278.2,660.4,190
25,25,27,118.3,664.95,180
26,26,28,591.5,663.65,270
27,27,29,139.75,664.95,230
28,28,30,166.4,664.3,275
29,29,31,644.15,669.5,250
30,30,32,45.5,640.25,240
31,31,33,592.8,627.25,240
32,32,34,650.0,631.15,250
33,33,35,202.15,625.3,240
34,34,36,168.35,630.5,210
35,35,37,271.05,626.6,330
36,36,38,399.1,632.45,230
37,37,39,628.55,636.35,55
38,38,40,575.9,631.15,240
39,39,41,562.25,635.05,245
40,40,42,224.9,631.15,250
41,41,43,516.1,633.1,210
42,42,44,246.35,631.8,245
43,43,45,120.9,636.35,240
44,44,46,531.7,637.65,210
45,45,48,511.55,668.85,225
46,46,49,287.95,638.3,235
47,47,50,549.9,638.3,265
48,48,51,381.55,638.3,195
49,49,52,605.15,645.45,335
50,50,53,204.1,639.6,250
51,51,54,445.25,638.95,215
52,52,55,308.1,639.6,230
53,53,57,661.7,637.0,235
54,54,59,139.75,642.2,240
55,55,60,464.1,642.2,245
56,56,61,409.5,642.2,195
57,57,62,505.05,643.5,255
58,58,63,373.75,691.6,125
59,59,64,175.5,676.65,245
60,60,65,599.95,681.2,300
61,61,66,66.3,681.85,225
62,62,67,53.3,679.25,215
63,63,68,500.5,678.6,205
64,64,69,524.55,687.05,255
65,65,70,113.1,687.05,180
66,66,71,219.05,687.7,170
67,67,73,630.5,687.7,200
68,68,74,44.2,686.4,210
69,69,75,244.4,687.05,185
70,70,76,390.0,685.75,145
71,71,77,480.35,692.9,250
72,72,78,328.25,694.85,295
73,73,79,406.25,679.25,200
74,74,81,75.4,690.3,220
75,75,82,286.0,691.6,230
76,76,83,303.55,692.9,275
77,77,84,585.65,692.9,310
78,78,85,89.05,692.9,180
79,79,86,549.25,696.15,320
80,80,87,659.1,690.95,170
81,81,88,176.8,694.2,175
82,82,89,56.55,694.2,210
83,83,90,100.75,699.4,165
84,84,91,416.0,697.45,155
85,85,92,624.65,701.35,230
86,86,93,454.35,700.05,230
87,87,94,343.2,672.1,165
88,88,95,602.55,666.9,245
89,89,96,77.35,668.85,260
90,90,97,98.8,670.15,265
91,91,99,246.35,668.2,205
92,92,100,410.8,665.6,160
93,93,101,492.7,663.65,195
94,94,102,200.85,672.1,225
95,95,103,527.8,670.8,300
96,96,105,466.7,668.85,190
97,97,106,633.75,670.8,225
98,98,107,63.05,667.55,195
99,99,108,261.95,669.5,165
100,100,109,356.85,666.9,160
101,101,110,215.15,628.55,250
102,102,111,382.2,670.8,180
103,103,112,562.25,668.2,270
104,104,113,619.45,679.9,320
105,105,114,542.75,678.6,270
106,106,115,40.3,673.4,175
107,107,116,150.15,676.65,210
108,108,117,431.6,678.6,185
109,109,118,579.8,676.0,325
110,110,119,228.15,676.0,160
111,111,120,291.2,676.0,310
112,112,121,315.9,676.0,240
113,113,122,448.5,677.3,160
114,114,123,488.15,678.6,215
115,115,124,131.95,679.25,200
116,116,125,425.75,584.35,200
117,117,126,607.75,577.2,180
118,118,127,252.85,576.55,230
119,119,128,341.25,575.25,255
120,120,129,404.3,577.2,255
121,121,130,670.8,572.0,220
122,122,131,514.15,579.8,210
123,123,132,310.7,577.85,295
124,124,133,139.1,586.3,195
125,125,134,629.85,576.55,295
126,126,135,228.15,577.2,230
127,127,136,182.0,581.75,155
128,128,137,545.35,585.0,205
129,129,138,76.05,592.15,185
130,130,139,212.55,586.95,250
131,131,140,271.05,582.4,210
132,132,141,588.25,577.85,215
133,133,142,447.2,586.3,235
134,134,143,285.35,583.05,240
135,135,144,327.6,585.0,255
