Origin,Type,Metric,Value
pure_colony_3,apoptosis,pvalue,1e-05
pure_colony_3,apoptosis,expected,1.00103668901953
pure_colony_3,apoptosis,observed,0.8833769540024196
pure_colony_1,apoptosis,pvalue,1e-05
pure_colony_1,apoptosis,expected,1.1187001216011923
pure_colony_1,apoptosis,observed,0.8827707938003483
pure_colony_2,apoptosis,pvalue,1e-05
pure_colony_2,apoptosis,expected,1.0614737133755785
pure_colony_2,apoptosis,observed,0.8940478993366782
pure_death_1,apoptosis,pvalue,1e-05
pure_death_1,apoptosis,expected,1.0778309872482026
pure_death_1,apoptosis,observed,0.8899970108200623
pure_death_2,apoptosis,pvalue,1e-05
pure_death_2,apoptosis,expected,1.1205175964527356
pure_death_2,apoptosis,observed,0.8109289026940047
pure_death_3,apoptosis,pvalue,0.3
pure_death_3,apoptosis,expected,0.9095146489521453
pure_death_3,apoptosis,observed,0.9922719452817419
