Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
field13_crop-001_ROI#1_annotation_apop.csv,0.10029878727517726,0.25738396624472576,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,5,33
field13_crop-001_ROI#1_annotation_nec.csv,0.3762009695901278,0.1423948220064725,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,5,33
Field14-002_ROI#1_annotation_apop.csv,0.20473936701117226,0.23969072164948454,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,5,33
Field14-002_ROI#1_annotation_nec.csv,0.4187970853402494,0.21285140562248997,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,5,33
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-1.199004975124378,0.5531914893617021,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.761,5,33
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.4177978883861237,0.2605633802816901,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.25165827539359065,0.15725806451612903,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.595381759108842,0.10086455331412104,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,5,33
field13_crop-001_ROI#1_annotation_mixed.csv,0.3878567794677473,0.1391941391941392,MixedColony,MCF10A+field13_crop-001_roi#1_annotation_mixed.csv,MCF10A,field13_colony,mixed,546,0.0,5,33
Field14-002_ROI#1_annotation_mixed.csv,0.3742967167612713,0.16588419405320814,MixedColony,MCF10A+field14-002_roi#1_annotation_mixed.csv,MCF10A,field14_colony,mixed,641,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_mixed.csv,0.6230755561299495,0.11932773109243698,MixedColony,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_mixed.csv,MCF10A,field14_two_colony,mixed,596,0.0,5,33
purecolony3.csv,,,MixedColony,MCF10A+purecolony3.csv,MCF10A,pure_colony_3,Necrosis,818,,5,33
purecolony1.csv,,,MixedColony,MCF10A+purecolony1.csv,MCF10A,pure_colony_1,Necrosis,930,,5,33
purecolony2.csv,,,MixedColony,MCF10A+purecolony2.csv,MCF10A,pure_colony_2,Necrosis,975,,5,33
mixcolony1.csv,0.4764066045856483,0.22255192878338279,MixedColony,MCF10A+mixcolony1.csv,MCF10A,mix_colony_1,mixed,337,0.0,5,33
mixcolony2_field13.csv,0.5554147048170952,0.15689981096408318,MixedColony,MCF10A+mixcolony2_field13.csv,MCF10A,mix_colony_2,mixed,529,0.0,5,33
mixcolony3.csv,0.09390485629335987,0.4951923076923077,MixedColony,MCF10A+mixcolony3.csv,MCF10A,mix_colony_3,mixed,208,0.0,5,33
field13_crop-001_ROI#1_annotation_apop.csv,0.09942481511914547,0.2616033755274262,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,10,33
field13_crop-001_ROI#1_annotation_nec.csv,0.37082228116710875,0.1553398058252427,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,10,33
