Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
field13_crop-001_ROI#1_annotation_apop.csv,0.10029878727517726,0.25738396624472576,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,5,33
field13_crop-001_ROI#1_annotation_nec.csv,0.3762009695901278,0.1423948220064725,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,5,33
Field14-002_ROI#1_annotation_apop.csv,0.20473936701117226,0.23969072164948454,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,5,33
Field14-002_ROI#1_annotation_nec.csv,0.4187970853402494,0.21285140562248997,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,5,33
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-1.199004975124378,0.5531914893617021,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.761,5,33
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.4177978883861237,0.2605633802816901,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.25165827539359065,0.15725806451612903,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.595381759108842,0.10086455331412104,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,5,33
field13_crop-001_ROI#1_annotation_apop.csv,0.09942481511914547,0.2616033755274262,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,10,33
field13_crop-001_ROI#1_annotation_nec.csv,0.37082228116710875,0.1553398058252427,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,10,33
Field14-002_ROI#1_annotation_apop.csv,0.2061034371988436,0.24484536082474226,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,10,33
Field14-002_ROI#1_annotation_nec.csv,0.42422027290448344,0.2289156626506024,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,10,33
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-1.182716049382716,0.5531914893617021,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.779,10,33
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.41638947686725125,0.2605633802816901,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,10,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.25105974566104133,0.15725806451612903,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,10,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5959443800695249,0.10086455331412104,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,10,33
