Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
field13_crop-001_ROI#1_annotation_apop.csv,0.0976555614313414,0.25738396624472576,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,5,33
field13_crop-001_ROI#1_annotation_nec.csv,0.372495123248803,0.1423948220064725,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,5,33
Field14-002_ROI#1_annotation_apop.csv,0.20502092050209206,0.23969072164948454,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,5,33
Field14-002_ROI#1_annotation_nec.csv,0.424412915851272,0.21285140562248997,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,5,33
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-1.2754182754182755,0.5531914893617021,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.768,5,33
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.41674221819280755,0.2605633802816901,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.25126933994322953,0.15725806451612903,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5967387533248526,0.10086455331412104,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,5,33
field13_crop-001_ROI#1_annotation_apop.csv,0.10300479363965856,0.2616033755274262,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,10,33
field13_crop-001_ROI#1_annotation_nec.csv,0.36746666666666666,0.1553398058252427,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,10,33
Field14-002_ROI#1_annotation_apop.csv,0.2033395654696667,0.24484536082474226,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,10,33
Field14-002_ROI#1_annotation_nec.csv,0.42337725719863345,0.2289156626506024,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,10,33
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-1.221105527638191,0.5531914893617021,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.757,10,33
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.41762220881110446,0.2605633802816901,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,10,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.25365639819870084,0.15725806451612903,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,10,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5949587640840981,0.10086455331412104,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,10,33
field13_crop-001_ROI#1_annotation_apop.csv,0.10290514525726287,0.2742616033755274,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,30,33
field13_crop-001_ROI#1_annotation_nec.csv,0.3659439450026441,0.20388349514563106,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,30,33
Field14-002_ROI#1_annotation_apop.csv,0.20143188854489166,0.25773195876288657,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,30,33
Field14-002_ROI#1_annotation_nec.csv,0.4233308877476155,0.26506024096385544,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,30,33
